conversacion,plantilla,mensaje,botones,tipo,proposito,estado,activo,equipo,equipo_fuente,nivel_documentacion,en_uso_real,envios_historicos,entregados_historicos,tasa_respuesta_hist,n_envios_batches,primer_envio,ultimo_envio,auditoria
Carlos insistencias,saludo_carlos_inasistencias,"Hola, ¿Cómo estás? Te saluda Carlos Jimenez de Opción Yo, tu plan de bienestar 🌱 Notamos que tienes algunas sesiones agendadas a las que no has podido asistir. Quisiera saber si todo está bien o si ocurrió algo que te haya impedido conectarte. Si necesitas apoyo o hacer algún ajuste para continuar con tu proceso de bienestar, con gusto estamos aquí para ayudarte.











",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente cancela menos de 24hs antes,cl_cancela_con_mas_de_24hs_de_anticipacion_v1,"Hola, {{hubspot_firstname}}. 🌱 Recibimos tu solicitud de cancelar la sesión y tu especialista ya fue notificado. 🗓️ Para revisar si es posible reagendar este espacio, responde a este mensaje y te ayudaremos con la gestión. 👋🏼",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente con 2 Cancelaciones tardias GI,cliente_con_2_cancelacin_tardias_gi,"¡Hola! 👋 Espero que te encuentres muy bien. Soy Giselle Villegas, ejecutiva de cuenta de Opción Yo, tu plan de bienestar. ✨ Te contacto porque hemos registrado dos cancelaciones tardías en tus sesiones durante los últimos días. Queremos saber si todo está bien y si hay alguna situación que esté dificultando tu asistencia o continuidad en el proceso. 💬 Mi intención es acompañarte y encontrar alternativas que te permitan aprovechar tu plan al máximo. 😊 Agradeceré mucho tu respuesta. ¡Quedo atenta a tus comentarios! 🙋‍♀️",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente con Cancelacion Tardia GI,cliente_con_cancelacion_tardia_gi,"¡Hola! 👋 Espero que te encuentres muy bien. Soy Giselle Villegas, ejecutiva de cuenta de Opción Yo, tu plan de bienestar. ✨ Te escribo porque hemos notado algunas cancelaciones tardías o inasistencias a tus sesiones recientes. Nos gustaría saber si todo está bien y si hay alguna situación que esté dificultando tu asistencia. 💬 Estoy aquí para acompañarte y buscar juntos una solución que se adapte mejor a tus necesidades. 😊 Quedo muy atenta a tus comentarios. ¡Saludos! 🙋‍♀️",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente no asistió,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Confirmación de match,confirm_match,"

Hola, {{hubspot_firstname}}. El primer paso para asegurar que tu experiencia sea de calidad, es hacer click con tu especialista. ✅

Si no estás conforme recuerda que te podemos poner en contacto con tu Consultor/a, para darte garantía y apoyarte a encontrar otro especialista para que logres tus objetivos. ✨","Me gustó
Cambiar",Utilidad,cuando no confirma el match desde la plataforma entonces se le manda por whatsapp,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Consultor esperando,aviso_en_linea,"Hola {{hubspot_firstname}}, de acuerdo a tu solicitud, tu consultor está en línea aguardándote para tu Tour de Bienvenida.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Consultores,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Copia de la conversación Consultor esperando,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Consultores,Inferido (nombre equivalente documentado),Sin documentar,False,0,0,,0,,,OK
Copia de la conversación Inbound-especialistas,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Cuarta sesión si asistió,seguimiento_4ss_asistio,"

Hola {{hubspot_firstname}}

Terminaste tus primeras 4 sesiones 🎉

Ahora empiezas una etapa más profunda de tu proceso. Si algo no ha sido como esperabas o necesitas claridad para el siguiente paso, estoy aquí para ayudarte.","Quiero que me escribas
Todo estuvo bien",Marketing,cuando termina exitosamente la 4ta sesion,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cómo cancelar y reagendar,como_reagendar_con_mas_de_24hs_de_anticipacion_v1,"Hola, {{hubspot_firstname}} 👋🏼 Hemos recibido tu solicitud de re-agendar tu sesión, ¿lograste realizar el cambio desde tu plataforma, o requieres de asistencia? Estamos pendientes para ayudarte. 🌱",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
ENGLISH: Saludo soporte,english_saludo_soporte,"Hello {{hubspot_firstname}}, we are getting in touch because we need to talk to you. Do you have a few minutes?",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Emergencia Especialista Cancela,emergencia_especialista_cancelacion,"Hola {{hubspot_firstname}}, lamento informarte que tu especialista {{hubspot_especialista_actual}} ha tenido una emergencia y no podrá asistir a la sesión del {{hubspot_fecha_sesion}}. 🗓️ Por favor responde con un SI para ayudarte con el reagendamiento lo antes posible.  Gracias por tu comprensión.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,True,11,11,72.7,1,2026-03-27 19:20:56,2026-03-27 19:20:56,OK
Encuesta User Persona,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,True,927,871,8.3,2,2026-06-23 20:47:39,2026-06-23 22:55:17,⚠️ Catálogo dice Inactivo pero SÍ tiene envíos reales — revisar y actualizar estado
Enfermedad especialista cancela,enfermedad_especialista_cancela,"Hola {{hubspot_firstname}}, lamento informarte que tu especialista {{hubspot_especialista_actual}} presenta un tema de salud que le impedirá presentarse en la sesión del {{hubspot_fecha_sesion}}. Por favor, para ayudarte con el reagendamiento lo antes posible, responde con un SI. ➡️📆 Muchas Gracias por tu comprensión.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Envío habilitar notificaciones,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,True,3656,3570,9.1,127,2026-01-02 19:00:07,2026-02-02 19:00:44,⚠️ Catálogo dice Inactivo pero SÍ tiene envíos reales — revisar y actualizar estado
Especialista cancela motivo Personal,especialista_cancela_motivo_personal,"Hola {{hubspot_firstname}}, tu especialista {{hubspot_especialista_actual}} tiene un compromiso personal impostergable y no podrá asistir a la sesión del {{hubspot_fecha_sesion}}. Por favor responde con un SI para ayudarte con el reagendamiento lo antes posible. Gracias por tu comprensión.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Especialista esperando,esp_espera,"Hola {{hubspot_firstname}}, tu especialista te espera por la plataforma. ¿Tienes alguna dificultad que te impide ingresar?",Sin documentar,Utilidad,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,True,113,111,26.1,2,2026-01-26 13:06:08,2026-01-28 17:17:08,OK
Flujo cancelación de sesiones,Sin documentar,Sin documentar,Sin documentar,Marketing,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Parcial,False,0,0,,0,,,OK
Flujo referido,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Horario SDD,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Horario Soporte,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
IA - Inbound Testing,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
ICP 24 horas antes,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
"Inasistencia 2, 3 o 4ta sesión con AR",inasis_sin_etapa_10_ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin documentar,Utilidad,cuando el cliente de primer mesno asiste y tiene AR,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
"Inasistencia 2, 3, o 4ta sesión",inasistencia_sin_sesion_futura_version_2,"

Hola {{hubspot_firstname}}, notamos que no pudiste asistir a tu sesión.

Si hay algo que esté dificultando tu asistencia, estamos aquí para ayudarte.",Sin botones,Utilidad,cuando el cliente de primer mesno asiste y no tiene AR,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia Primera sesión,seguimiento_1ss_no_asistio,"

Hola {{hubspot_firstname}},

Vimos que no pudiste asistir a tu primera sesión y nos apena mucho. Sabemos que a veces surgen imprevistos y tu especialista nos pidió contactarte para ayudarte a reagendar.

Lo importante es que tu proceso pueda comenzar pronto. Aunque normalmente las sesiones no canceladas con al menos 24h se consideran tomadas, al ser la primera queremos que puedas recuperarla.

Quedamos pendientes de ti para reagendarla. 💛","Reagendar mi sesión
Quiero que me contacten",Utilidad,Cuando no asiste a la primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia con AR,inasis_sin_etapa_10_ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin documentar,Utilidad,cuando el cliente de otros meses no asiste y tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,True,123,122,20.8,2,2026-01-27 12:31:06,2026-01-28 13:30:21,OK
Inasistencia sin AR,inasis_sin_etapa_10_ver_2,"Hola {{hubspot_firstname}}, notamos que no lograste asistir a tu sesión. Tu especialista te esperó y nos apena que no hayas podido conectarte. Te recordamos que tu próxima sesión está agendada para el {{hubspot_proxima_sesion}}. Si alguna situación te está impidiendo asistir, por favor comunícate con nosotros para ayudarte a reagendar con tiempo y continuar tu proceso 🫶",Sin documentar,Utilidad,cuando el cliente de otros meses no asiste y no tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inasistencia sin sesiones futuras,inasistencia_sin_sesion_futura_version_2,"

Hola {{hubspot_firstname}}, notamos que no pudiste asistir a tu sesión.

Si hay algo que esté dificultando tu asistencia, estamos aquí para ayudarte.",Sin botones,Utilidad,Cuando el cliente no asiste y no tiene otras sesiones agendadas,Push Activo,True,ATC,Original (spreadsheet),Completa,True,66,65,26.2,1,2026-01-28 13:30:28,2026-01-28 13:30:28,OK
Inasistencias Lau O,lau_o_inasistencias_v1,"Hola, ¿Cómo estás? Te saluda Laura Ospina de Opción Yo, tu plan de bienestar 🌱 Notamos que tienes algunas sesiones agendadas a las que no has podido asistir. Quisiera saber si todo está bien o si ocurrió algo que te haya impedido conectarte. Si necesitas apoyo o hacer algún ajuste para continuar con tu proceso de bienestar, con gusto estamos aquí para ayudarte.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inbound - Especialistas,Sin documentar,Sin documentar,Sin documentar,Utilidad,Sin documentar,Inbound,True,Sin equipo documentado,Sin documentar,Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Inbound cliente nuevo,Sin documentar,Sin documentar,Sin documentar,Utilidad,Sin documentar,Inbound,True,Sin equipo documentado,Sin documentar,Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Informe pago fallido 48hs,informe_pago_fallido,"

Hola, {{hubspot_firstname}}💛 Te escribimos porque no pudimos procesar el pago de tu plan en Opción Yo. 

Si necesitas ayuda para revisar tu método de pago, respóndenos este mensaje. 

Estamos aquí para ayudarte ✨",Sin botones,Utilidad,48 horas después de que el pago haya fallido,Push Activo,True,ATC,Original (spreadsheet),Completa,True,10,9,55.6,1,2026-07-02 13:10:13,2026-07-02 13:10:13,OK
Llamada desde HUBSPOT,push_llamada_hubspot,"Hola {{hubspot_firstname}}, espero te encuentres bien. Soy tu consultor en Opción Yo y estaré contactándote por llamada en los próximos minutos desde este mismo número +1 305-767-9862 para poder apoyarte en tu proceso de bienestar. Espero me puedas contestar.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Consultores,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Llamada desde WHATSAPP,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Mante - Saludo Carlos,mante_saludo_general,"Hola {{hubspot_firstname}}, sabemos que tienes una solicitud o consulta y queremos acompañarte en este proceso. Para poder continuar con la atención, por favor respóndenos este mensaje. Será un gusto ayudarte y brindarte el apoyo que necesites.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Mante - Saludo Carolina,mante_saludo_general,"Hola {{hubspot_firstname}}, sabemos que tienes una solicitud o consulta y queremos acompañarte en este proceso. Para poder continuar con la atención, por favor respóndenos este mensaje. Será un gusto ayudarte y brindarte el apoyo que necesites.",Sin documentar,Sin documentar,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Mante - Saludo Giselle,mante_saludo_general,"Hola {{hubspot_firstname}}, sabemos que tienes una solicitud o consulta y queremos acompañarte en este proceso. Para poder continuar con la atención, por favor respóndenos este mensaje. Será un gusto ayudarte y brindarte el apoyo que necesites.",Sin documentar,Sin documentar,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Medición de progreso,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Mensaje bienvenida a Opción Yo,mensaje_bienvenida,"

¡Bienvenido a Opción Yo! 💙

Tu compra ha sido procesada con éxito. A partir de ahora, este será tu contacto de atención al cliente. Si en algún momento necesitas ayuda o tienes alguna dificultad, no dudes en escribirnos. Estamos aquí para apoyarte en tu camino. 🚀✨

¡Que disfrutes tu experiencia! 😊",Sin botones,Utilidad,Inmediatamente con la compra,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
NPS Carlos,nps_carlos_saludo,Hola! Te saluda Carlos del área de Control de Calidad de Opción Yo. Notamos que tu experiencia con nosotros no llenó tus expectativas. Me gustaría pedirte 5 minutos de tu tiempo para entender qué pasó y darte una solución y al mismo tiempo recibir sugerencias para mejorar nuestro servicio.,Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
NPS Control de calidad,nps_retencion,"Hola! Te saluda Celeste del área de Control de Calidad de Opción Yo, porque notamos que tu experiencia con nosotros no llenó tus expectativas. Me gustaría pedirte 5 minutos de tu tiempo para entender qué pasó y darte una solución.",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
NPS Lau O,consulta_control_de_calidad,"👋 *Hola,* *te* *saluda* *Laura* *Ospina* *del* *área* *de* *Control* *de* *Calidad* *de* *Opción* *Yo.* Notamos que tu experiencia con nosotros no llenó tus expectativas. Me gustaría pedirte 5 minutos de tu tiempo para entender qué sucedió, ofrecerte una solución y recibir tus sugerencias para mejorar nuestro servicio. ¿Tendrías un momento para conversar?",Sin documentar,Utilidad,Sin documentar,Manual activo,True,Mantenimiento,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Navidad cupon clientes promo,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Notificación Mensaje nuevo,notif_mensaje_nuevo,Te contactamos para notificarte que tu especialista te envió un mensaje en la plataforma que requiere de tu atención👀   Accede a tu perfil aquí 👇🏻   https://opcionyo.com/paciente,Sin documentar,Sin documentar,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Notificación de App envío sept,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Notificación especialista sesión hoy,aviso_esp_agenda_hoy_con_datos,"

Hola {{hubspot_firstname}}, Tienes una nueva sesión agendada con {{hubspot_hsm_sesion_agendada_yopsi_id_cliente}} para el día {{hubspot_hsm_sesion_agendada_yopsi_id_fecha_hora_cita}}. Por favor revisa tu agenda para estar disponible a la hora programada. ⏰",Sin botones,Utilidad,Notificacion hacia el especialista para recordar que tiene sesion agendada hoy,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Notificación primera sesión,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,False,0,0,,0,,,OK
Onboarding 24hs sin agendar consultoria,onb_push_24hs_ver4,"

Hola {{hubspot_firstname}}, vimos que aún no has finalizado tus datos para iniciar tu proceso. Puedes completarlos aquí.
Si necesitas ayuda, estamos disponibles.",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 24hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Onboarding 3hs sin agendar consultoria,onb_3hs_v3,"

Hola {{hubspot_firstname}}, vimos que iniciaste tu proceso en Opción Yo. Para continuar, es necesario completar tu información aquí.
Si necesitas ayuda con este paso, podemos acompañarte.",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 3hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Onboarding 6hs sin agendar Consultoria,onb_6hs_ver4,"Hola {{hubspot_firstname}}, notamos que tu registro está en curso. Para poder avanzar con tu proceso en Opción Yo, puedes completar tu información aquí. ¿Te gustaría apoyo para hacerlo?",link: Continuar,Utilidad,"viejo onboarding, cuando ha pasado 6hs sin agendar la consultoria",Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Pago fallido,past_due_utilidad,"

Hola {{hubspot_firstname}}, no pudimos procesar el pago de tu suscripción. Para evitar la interrupción del servicio, te recomendamos revisar o actualizar tu información de pago. Si necesitas asistencia, estamos disponibles para ayudarte.",Sin botones,Utilidad,Cuando el pago falla,Push Activo,True,ATC,Original (spreadsheet),Completa,True,930,888,13.7,74,2026-01-03 17:31:25,2026-07-01 17:30:43,OK
Pago fallido AR dia 5,payment_update,"

{{hubspot_firstname}}, el intento de pago en Opción Yo no se procesó correctamente. Si deseas mantener tu reserva con el especialista, te recomendamos contactarnos dentro de las próximas 24 horas para revisar las opciones disponibles.",Sin botones,Utilidad,Cuando el pago falla y tiene AR,Push Activo,True,ATC,Original (spreadsheet),Completa,True,11,11,18.2,1,2026-01-21 17:32:30,2026-01-21 17:32:30,OK
Pago fallido SIN AR dia 5,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Sin documentar,Inactivo,False,Sin equipo documentado,Sin documentar,Sin documentar,True,224,70,8.7,17,2026-01-04 17:31:06,2026-06-12 17:30:52,⚠️ Catálogo dice Inactivo pero SÍ tiene envíos reales — revisar y actualizar estado
Past due - Andrea,push_dia_26_past_due,"Hola {{hubspot_firstname}} No hemos podido procesar tu pago en Opción Yo y nos apena que vayas perder tus beneficios. Por eso, insistimos en ayudarte a cambiar tus datos de pago antes de cerrar el mes. Si quieres asistencia estamos aquí para ti.",Sin documentar,Sin documentar,Sin documentar,Manual activo,True,ATC,Original (spreadsheet),Parcial,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Primera sesión si asistió,1ss_saludo_consultor,"Hola {{hubspot_firstname}} 🌱 Soy {{hubspot_hsm_nombre_consultor}}, Te escribo para asegurar que estás conforme con tu primera sesión. ¿Te sentiste escuchado/a? ¿Hubo claridad? ¿Sentiste conexión?  Si algo no te convenció, escríbeme y lo revisamos juntos.",quiero que me escribas       todo estuvo bien                                    ,Utilidad,Cuando completa exitosamente la primera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Problemas técnicos,utilidad_problemas_tecnicos,"Hola {{hubspot_firstname}}, te contactamos de acuerdo a tu solicitud de ayuda por los problemas técnicos recientes que tuviste. Queremos ayudarte para evitar esto en tu próxima sesión.",Sin botones,Utilidad,Cuando tiene problemas tecnicos y ticket creado,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
