conversacion,plantilla,mensaje,botones,tipo,proposito,estado,activo,equipo,equipo_fuente,nivel_documentacion,en_uso_real,envios_historicos,entregados_historicos,tasa_respuesta_hist,n_envios_batches,primer_envio,ultimo_envio,auditoria
Problemas técnicos,utilidad_problemas_tecnicos,"Hola {{hubspot_firstname}}, te contactamos de acuerdo a tu solicitud de ayuda por los problemas técnicos recientes que tuviste. Queremos ayudarte para evitar esto en tu próxima sesión.",Sin botones,Utilidad,Cuando tiene problemas tecnicos y ticket creado,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Puntuación 1,problemas_tecnicos_dic_2025,Hola {{hubspot_firstname}} 💚 Vimos que tu última sesión presentó inconvenientes técnicos. Lamentamos la experiencia y queremos ayudarte a resolverlo cuanto antes.   ¿Podemos contactarte para revisar lo ocurrido y apoyarte?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia,Utilidad,Cuando puntua 1,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Puntuación 2,problemas_tecnicos_dic_2025,Hola {{hubspot_firstname}} 💚 Vimos que tu última sesión presentó inconvenientes técnicos. Lamentamos la experiencia y queremos ayudarte a resolverlo cuanto antes.   ¿Podemos contactarte para revisar lo ocurrido y apoyarte?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia,Utilidad,Cuando puntua 2,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Puntuación 3,hsm_problemas_tecnicos,Hola {{hubspot_firstname}}🌿 Notamos que calificaste tu última sesión con un 3. Queremos asegurarnos de que tus próximas videollamadas funcionen sin inconvenientes.  ¿Te gustaría que te ayudemos con soporte técnico?,Mensaje por Whatsapp Prueba tecnica               No deseo asistencia,Utilidad,Cuando puntua 3,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Push Recomenzar-onboarding Whatsapp,recomenzar_utilidad_1,"Hola {{hubspot_firstname}}, notamos que tu intento de agendar tu Tour de Bienvenida con tu Consultor de Bienestar no se completó. ¿Podemos ayudarte?",Sin botones,Utilidad,Cuando no agenda viejo onboarding,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Push postergar y agendar,push_agendar_pausa,"¡Hola {{hubspot_firstname}}! 🌟  Recibimos tu postergación de pago y notamos que tienes sesiones sin agendar. Queremos ayudarte para que no expiren durante tu ausencia.  Para que esto no ocurra, sigue estos pasos:   Puedes agendarlas tu mismo ➡️ (opcionyo.com/paciente) Puedes solicitar apoyo ➡️ un agente te asistirá en este chat.  Equipo de Opción Yo.",Solicitar ayuda,Utilidad,Cuando posterga y deja sesiones sin agendar,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Push renovación etapa 9,renovacion_sin_sesiones_agendadas,"Hola {{hubspot_firstname}}, se registró la renovación de tu plan hace 72 horas. Se encuentran disponibles nuevas sesiones en tu cuenta para agendar. Para más información puedes contactarnos.",Sin botones,Utilidad,Cuando se renueva y no agenda sus sesiones,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Push sesión en 72hs,sesion_en_72hs,"Hola {{hubspot_firstname}}, Notamos que no lograste asistir a tu última sesión. Queremos recordarte que tienes una próxima sesión agendada en 72 horas. Si necesitas modificarla o tienes algún inconveniente, contáctanos con anticipación para ayudarte a reagendar sin que pierdas tu espacio 🌿. La constancia es clave para que tu proceso sea exitoso. Estamos aquí para acompañarte ✨",Sin botones,Utilidad,Cuando el cliente no asistió a su ultima sesión y tiene otra en 72hs,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Queremos que vuelvas,rete_sgm_v1,"Hola {{hubspot_firstname}}, Tu registro de bienestar ha sido iniciado en el sistema.","Ver estado
Revisar registro
Soporte",Utilidad,"promo exclientes de cancelaciones, creo que es automático",Push Activo,True,ATC,Inferido por patrón de nombre (revisar),Completa,True,857,826,17.9,16,2026-03-26 17:15:26,2026-04-04 09:02:14,OK
Recomenzar mensaje a los 12 horas,etapa_5_push_nuevo_12_hs,"Hola {{hubspot_firstname}}, aún tienes pendiente agendar tu Tour de Bienvenida. ¿Podemos agendarlo ahora?",Sin botones,Utilidad,Cuando compró hace 12 horas y no hizo viejo onboarding,Push Activo,True,Consultores,Original (spreadsheet),Completa,True,15,14,50.0,1,2026-01-28 12:00:25,2026-01-28 12:00:25,OK
Recordatorio 1h antes,q3_recordatorio_1_hr_antes,Hola {{hubspot_firstname}} 👋🏼 Te recordamos que tu sesión agendada en Opción Yo empieza en 1 hora. Busca un rinconcito privado y sin distracciones 🧘🏼‍♀✨ ¡Te esperamos! 💛,Sin botones,Utilidad,Cuando tiene sesión en 1 hora,Push Activo,True,ATC,Original (spreadsheet),Completa,True,33,33,6.7,3,2026-01-20 12:00:56,2026-02-24 12:00:50,OK
Recordatorio 30 minutos antes,sesion_30_min,¡Hola {{hubspot_firstname}}! 👋   Tu sesión comenzará en 30 minutos.   Haz click en el botón azul ➡️ en nuestra plataforma para habilitar la sesión. Accede a tu perfil aquí 👇🏻   https://opcionyo.com/paciente ¿Listo para empezar?,Confirmar Asistencia     Llegare tarde                  No voy a llegar,Marketing,Cuando tiene sesión en 30 minutos,Push Activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Recordatorio Sesión en 28hs,push_26_hs_mas_directo,"Hola {{hubspot_firstname}}, Tu sesión es mañana a las {{hubspot_sesion_en_28hs}}, Como no hemos recibido cambios, tu sesión sigue confirmada. Si no podrás asistir, puedes reagendarla dentro de las próximas 2h. Las sesiones no canceladas con 24h de anticipación se consideran tomadas. Gracias por tu compromiso ✨",Confirmar                 Reagendar,Utilidad,Cuando tiene sesion en 28hs para que confirme su asistencia. Si no responde manda otro mensaje 26hs antes de su sesión para que confirme,Push Activo,True,ATC,Original (spreadsheet),Completa,True,16794,16464,50.0,1415,2026-02-26 17:01:01,2026-07-20 14:07:22,OK
Recordatorio consultoria 30 min antes,notif_record_tour_con_foto_no_whatsapp,"Hola {{hubspot_firstname}} 👋🏻, te recordamos que tu Tour de Bienvenida agendado en Opción Yo comenzará en 30 minutos.   Recuerda que para acceder al Tour debes ingresar a la plataforma. Si necesitas ayuda, estamos aquí para ti.",Sin botones,Utilidad,30 minutos antes de su consultoria,Push Activo,True,Consultores,Original (spreadsheet),Completa,True,140,137,17.8,2,2026-01-27 02:30:42,2026-01-28 11:30:28,OK
Segunda Sesión - Si asistió,sgm_2ss_v2,"Hola {{hubspot_firstname}} Te escribo para dar seguimiento a tu segunda sesión. ¿Todo se está desarrollando correctamente con tu especialista? Si necesitas apoyo para ajustar algo, puedo ayudarte.",Quiero que me escribas    Todo Estuvo bien,Utilidad,Cuando completa exitosamente su segunda sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Sin sesiones agendadas,vigencia_sesiones_sin_agendar,"Hola {{hubspot_firstname}}, hay sesiones disponibles en tu cuenta con vencimiento próximo. Puedes revisarlas y agendarlas desde la plataforma. Si requieres asistencia, estamos disponibles para ayudarte.",Sin botones,Utilidad,Cuando no tiene agendadas sus sesiones,Push Activo,True,ATC,Original (spreadsheet),Completa,True,44,43,11.4,2,2026-01-20 15:01:13,2026-01-28 15:00:27,OK
Tercera sesión si asistió,ss_3ra_ss_si_asistio_v6,"Hola {{hubspot_firstname}} Soy {{hubspot_hsm_nombre_consultor}}. Paso para verificar que tu proceso continua bien. Si necesitas realizar algún cambio o tienes alguna inquietud, puedes escribirme.",Quiero que me escribas                          Todo Estuvo bien,Utilidad,Cuando completa exitosamente su tercera sesión,Push Activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
día 50 post salvado,push_da_50_post_salvado,"Hola, {{hubspot_firstname}}. Como parte del seguimiento a la continuidad de tu plan, queremos saber cómo ha avanzado tu proceso y confirmar que puedas seguir utilizando tus sesiones correctamente. Selecciona una opción:",todo continua bien              quiero recibir ayuda,Utilidad,Seguimiento a la continuidad del plan del cliente para verificar su evolución y sesiones.,Push Activo,True,Consultores,Inferido por patrón de nombre (revisar),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Dia 25 post salvado,push_da_25_post_salvado,"Hola, {{hubspot_firstname}}. Queremos saber cómo te ha ido desde que retomaste tu proceso y confirmar que hayas podido continuar con tus sesiones con normalidad. Selecciona una opción:","Todo está bien, gracias                    Necesito asistencia",Utilidad,Verificar la adaptación del cliente tras retomar su proceso y el uso normal de sus sesiones.,Push Activo,True,Consultores,Inferido por patrón de nombre (revisar),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Tu plan ha sido reactivado,tu_plan_ha_sido_reactivado_v2,"Hola, {{hubspot_firstname}}. Te notificamos que el pago de tu plan en Opción Yo ha sido procesado de manera exitosa y tu servicio se encuentra activo nuevamente. Por favor, confirma el estado actual de tu cuenta seleccionando una de las siguientes opciones:","Todo está bien, gracias                    Necesito asistencia",Utilidad,Notificar que el pago del plan fue procesado con éxito y el servicio está activo.,Push Activo,True,ATC,Inferido por patrón de nombre (revisar),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Adelantar consultoria,adelantar_consultoria,"Hola {{hubspot_firstname}}, te contactamos desde Opción Yo porque notamos que el tiempo de espera de tu tour de bienvenida es muy alto y queremos ofrecerte para agilizar tu inicio y adelantar esta sesión.",Sin botones,Utilidad,Agilizar el inicio del cliente reduciendo el tiempo de espera del tour de bienvenida.,Manual activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Caída de internet especialista cancela,caida_especialista_cancela,"Hola {{hubspot_firstname}}, lamento informarte que tu especialista {{hubspot_especialista_actual}} tiene un problema de último minuto con su conexión y no podrá realizar la sesión de hoy. Te pedimos mil disculpas por este inconveniente. Por favor, para ayudarte con el reagendamiento lo antes posible, responde con un SI. ➡️📆 Muchas gracias por tu comprensión.",Sin botones,Utilidad,Cuando el Especialista tiene una inconveniente de conexion,Manual activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cancelar plan,push_cancelar_plan_hsm_1,"Hola {{hubspot_firstname}}, Lamentamos mucho que quieras abandonar tu proceso de bienestar.  El proceso de cancelación solo se realiza a través de nuestra plataforma, pero antes nos encantaría entender en qué podemos seguir mejorando. ¿Podrías compartir conmigo el motivo que te lleva a tomar esta decisión?",Sin botones,Marketing,Comprender el motivo de cancelación del cliente antes de que procese su baja.,Manual activo,True,Cancelaciones,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Carlos insistencias,saludo_carlos_inasistencias,"Hola, ¿Cómo estás? Te saluda Carlos Jimenez de Opción Yo, tu plan de bienestar 🌱 Notamos que tienes algunas sesiones agendadas a las que no has podido asistir. Quisiera saber si todo está bien o si ocurrió algo que te haya impedido conectarte. Si necesitas apoyo o hacer algún ajuste para continuar con tu proceso de bienestar, con gusto estamos aquí para ayudarte.",Sin botones,Utilidad,Contactar al cliente por inasistencias a sesiones agendadas para ofrecer apoyo.,Manual activo,True,Mantenimiento,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente cancela menos de 24hs antes,cl_cancela_con_mas_de_24hs_de_anticipacion_v1,"Hola, {{hubspot_firstname}}. 🌱 Recibimos tu solicitud de cancelar la sesión y tu especialista ya fue notificado. 🗓️ Para revisar si es posible reagendar este espacio, responde a este mensaje y te ayudaremos con la gestión. 👋🏼",Sin botones,Utilidad,Confirmar la recepción de cancelación de sesión y notificar al especialista.,Manual activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente con 2 Cancelaciones tardias GI,cliente_con_2_cancelacin_tardias_gi,"¡Hola! 👋 Espero que te encuentres muy bien. Soy Giselle Villegas, ejecutiva de cuenta de Opción Yo, tu plan de bienestar. ✨ Te contacto porque hemos registrado dos cancelaciones tardías en tus sesiones durante los últimos días. Queremos saber si todo está bien y si hay alguna situación que esté dificultando tu asistencia o continuidad en el proceso. 💬 Mi intención es acompañarte y encontrar alternativas que te permitan aprovechar tu plan al máximo. 😊 Agradeceré mucho tu respuesta. ¡Quedo atenta a tus comentarios! 🙋‍♀️",Sin botones,Utilidad,Abordar al cliente que registra múltiples cancelaciones tardías recientes para brindarle alternativas.,Manual activo,True,Mantenimiento,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cliente con Cancelacion Tardia GI,cliente_con_cancelacion_tardia_gi,"¡Hola! 👋 Espero que te encuentres muy bien. Soy Giselle Villegas, ejecutiva de cuenta de Opción Yo, tu plan de bienestar. ✨ Te escribo porque hemos notado algunas cancelaciones tardías o inasistencias a tus sesiones recientes. Nos gustaría saber si todo está bien y si hay alguna situación que esté dificultando tu asistencia. 💬 Estoy aquí para acompañarte y buscar juntos una solución que se adapte mejor a tus necesidades. 😊 Quedo muy atenta a tus comentarios. ¡Saludos! 🙋‍♀️",Sin botones,Utilidad,Contactar al cliente tras notar cancelaciones tardías o inasistencias para ofrecer soluciones.,Manual activo,True,Mantenimiento,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Consultor esperando,aviso_en_linea,"Hola {{hubspot_firstname}}, de acuerdo a tu solicitud, tu consultor está en línea aguardándote para tu Tour de Bienvenida.",Sin botones,Utilidad,Avisar al cliente que su consultor está en línea esperándolo para el Tour de Bienvenida.,Manual activo,True,Consultores,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Cómo cancelar y reagendar,como_reagendar_con_mas_de_24hs_de_anticipacion_v1,"Hola, {{hubspot_firstname}} 👋🏼 Hemos recibido tu solicitud de re-agendar tu sesión, ¿lograste realizar el cambio desde tu plataforma, o requieres de asistencia? Estamos pendientes para ayudarte. 🌱",Sin botones,Utilidad,Ofrecer asistencia al cliente tras su solicitud de reagendar sesión.,Manual activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
ENGLISH: Saludo soporte,english_saludo_soporte,"Hello {{hubspot_firstname}}, we are getting in touch because we need to talk to you. Do you have a few minutes?",Yes                                           Later,Marketing,Contacto de soporte en inglés para iniciar la conversación.,Manual activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
Emergencia Especialista Cancela,emergencia_especialista_cancelacion,"Hola {{hubspot_firstname}}, lamento informarte que tu especialista {{hubspot_especialista_actual}} ha tenido una emergencia y no podrá asistir a la sesión del {{hubspot_fecha_sesion}}. 🗓️ Por favor responde con un SI para ayudarte con el reagendamiento lo antes posible.  Gracias por tu comprensión.",Sin botones,Utilidad,Informar sobre la cancelación imprevista del especialista por emergencia e iniciar el reagendamiento.,Manual activo,True,ATC,Original (spreadsheet),Completa,True,11,11,72.7,1,2026-03-27 19:20:56,2026-03-27 19:20:56,OK
Enfermedad especialista cancela,enfermedad_especialista_cancela,"Hola {{hubspot_firstname}}, lamento informarte que tu especialista {{hubspot_especialista_actual}} presenta un tema de salud que le impedirá presentarse en la sesión del {{hubspot_fecha_sesion}}. Por favor, para ayudarte con el reagendamiento lo antes posible, responde con un SI. ➡️📆 Muchas Gracias por tu comprensión.",Sin botones,Utilidad,Notificar la cancelación de sesión por temas de salud del especialista.,Manual activo,True,ATC,Original (spreadsheet),Completa,False,0,0,,0,,,Sin envíos detectados en el período del reporte (puede ser normal si es trigger puntual)
